,artist,genre
141,Ran-D,"['classic hardstyle', 'rawstyle', 'tekk']"
142,Kaskade,"['big room', 'chicago house', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
143,Polo G,['chicago rap']
144,iann dior,"['melodic rap', 'pop rap']"
145,PnB Rock,"['melodic rap', 'pop rap', 'rap', 'trap']"
146,Lil Tecca,"['melodic rap', 'rap', 'trap']"
147,NAV,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']"
148,YoungBoy Never Broke Again,"['baton rouge rap', 'trap']"
149,Speaker Knockerz,"['melodic rap', 'south carolina hip hop', 'southern hip hop', 'trap']"
150,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']"
151,Roddy Ricch,"['melodic rap', 'rap', 'trap']"
152,BlocBoy JB,"['pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap']"
153,NLE Choppa,['memphis hip hop']
154,YBN Nahmir,"['alabama rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']"
155,YNW Melly,"['melodic rap', 'trap']"
156,ayokay,"['electropop', 'indie electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']"
157,Christian Leave,"['indie cafe pop', 'indie pop', 'pop']"
158,Luke Christopher,"['indie pop rap', 'pop rap']"
159,grandson,"['modern alternative rock', 'modern rock', 'rock']"
160,Alon Mor,"['experimental electronic', 'future bass']"
161,Grabbitz,"['brostep', 'chillstep', 'edm', 'electro house', 'future bass', 'gaming edm']"
162,Mike Posner,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
163,XXXTENTACION,"['emo rap', 'miami hip hop']"
164,NEFFEX,[]
165,Rameses B,"['chillstep', 'complextro', 'edm', 'electro house', 'gaming edm', 'melodic dubstep']"
166,Gaullin,"['lithuanian electronic', 'pop dance']"
167,DragonForce,"['british power metal', 'metal', 'power metal', 'speed metal']"
168,JayKode,"['bass trap', 'traprun']"
169,Tristam,"['brostep', 'chillstep', 'edm', 'electro house', 'gaming edm']"
170,Swedish House Mafia,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house']"
171,Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'electro house']"
172,Apashe,['bass trap']
173,Fort Minor,['rap rock']
174,Dirty Rush & Gregor Es,['progressive house']
175,Zara Larsson,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']"
176,LNY TNZ,"['edm', 'electro house', 'rawstyle']"
177,Krewella,"['big room', 'dance pop', 'edm', 'electra', 'electro house', 'electropop', 'pop dance']"
178,Noisestorm,"['chillstep', 'complextro', 'edm', 'electro house', 'gaming edm']"
179,Stefflon Don,"['dancehall', 'uk dancehall', 'uk hip hop']"
180,Marc E. Bassy,"['indie poptimism', 'pop', 'pop rap', 'post-teen pop', 'rap']"
181,Charlotte Lawrence,"['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']"
182,Iggy Azalea,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
183,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'pop dance', 'pop rap', 'trap queen']"
184,Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']"
185,Y2K,['pop rap']
186,Yung Gravy,"['meme rap', 'minnesota hip hop', 'pop rap', 'vapor trap']"
187,bbno$,"['canadian hip hop', 'dark trap', 'meme rap', 'pop rap', 'vapor trap']"
188,420 Unlovable,['meme rap']
189,Alison Wonderland,"['aussietronica', 'edm', 'electra', 'electro house', 'electronic trap', 'electropop', 'escape room', 'indietronica']"
190,Diplo,"['bmore', 'edm', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']"
191,DJ Snake,"['dance pop', 'edm', 'electro house', 'electronic trap', 'pop', 'pop dance']"
192,ILLENIUM,"['edm', 'electropop', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']"
193,Prismo,"['bass trap', 'gaming edm', 'traprun']"
194,THEY.,"['alternative r&b', 'indie r&b', 'pop r&b', 'pop rap', 'trap soul', 'underground hip hop']"
195,Stephen,"['cambridge choir', 'choral', 'classical organ', 'orchestral performance']"
196,Adam Jensen,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']"
197,YONAS,"['deep underground hip hop', 'indie pop rap', 'pop rap']"
198,Ryan Oakes,"['deep underground hip hop', 'emo rap', 'indie pop rap', 'pop rap', 'sad rap']"
199,Unknown Brain,"['bass trap', 'gaming edm', 'traprun']"
200,Ryan Caraveo,"['deep underground hip hop', 'indie pop rap', 'pop rap']"
201,Bassnectar,"['breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']"
202,Flosstradamus,"['bass trap', 'edm', 'electro house', 'electronic trap', 'mashup']"
203,Tritonal,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
204,Call Me Karizma,"['emo rap', 'minnesota hip hop', 'modern alternative rock', 'modern rock', 'pop rap', 'social media pop']"
205,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']"
206,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']"
207,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
208,Hollywood Undead,"['alternative metal', 'modern rock', 'nu metal', 'rap metal', 'rap rock']"
209,Avenged Sevenfold,"['alternative metal', 'nu metal']"
210,Halestorm,"['alternative metal', 'nu metal', 'post-grunge']"
211,Pillar,"['christian alternative rock', 'christian music', 'christian rock']"
212,Three Days Grace,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']"
213,Rev Theory,"['alternative metal', 'gymcore', 'nu metal', 'post-grunge', 'rap rock', 'rebel blues', 'wrestling']"
214,Nickelback,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']"
215,Thousand Foot Krutch,"['alternative metal', 'canadian ccm', 'canadian metal', 'canadian rock', 'christian alternative rock', 'christian rock', 'nu metal', 'rap metal', 'rap rock']"
216,Celldweller,"['alternative metal', 'future rock', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock']"
217,Beartooth,"['modern rock', 'post-screamo']"
218,Rise Against,"['chicago hardcore', 'chicago punk', 'hardcore punk', 'punk']"
219,Hot Action Cop,"['funk metal', 'rap rock']"
220,Juice WRLD,"['chicago rap', 'melodic rap']"
221,Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
222,Skan,"['bass trap', 'traprun']"
223,NGHTMRE,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'pop dance']"
224,Trilane,[]
225,Jauz,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house', 'pop dance']"
226,Virtual Riot,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'electronic trap', 'filthstep', 'future bass', 'gaming dubstep']"
227,Matthew Wilder,['new wave pop']
228,BFK,['uk alternative hip hop']
229,Andrew Gold,"['soft rock', 'underground power pop']"
230,Dma Illan Trap,
231,League of Legends,['video game music']
232,Cherry Beach,[]
233,MYRNE,"['edm', 'electro house', 'future bass', 'gaming edm', 'pop edm', 'singaporean electronic', 'singaporean pop', 'vapor twitch']"
234,JRL,['pop edm']
235,RapGem,[]
236,Jax Jones,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk dance']"
237,Freddie Dredd,"['dark trap', 'meme rap', 'phonk', 'underground hip hop', 'viral rap']"
238,Weathers,"['modern alternative rock', 'modern rock']"
239,The Cab,"['modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop', 'vegas indie', 'viral pop']"
240,Black Veil Brides,"['alternative metal', 'modern rock', 'screamo']"
241,Twenty One Pilots,"['modern rock', 'rock']"
242,All Time Low,"['modern rock', 'pop punk', 'post-teen pop', 'rock']"
243,Fall Out Boy,"['emo', 'modern rock', 'pop punk']"
244,Anarbor,"['modern rock', 'neon pop punk', 'pop emo', 'pop punk']"
245,MISSIO,"['electropop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'rock']"
246,Alec Benjamin,"['electropop', 'pop']"
247,Madison Beer,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
248,Louis Tomlinson,"['pop', 'post-teen pop']"
249,Ne-Yo,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
250,Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
251,Lecrae,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']"
252,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
253,KIDS SEE GHOSTS,"['hip hop', 'rap', 'underground hip hop']"
254,Rae Sremmurd,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
255,Dyler,['arabic hip hop']
256,Kap G,"['atl hip hop', 'chicano rap', 'melodic rap', 'trap', 'vapor trap']"
257,Rich Homie Quan,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
258,Bryson Tiller,"['kentucky hip hop', 'pop', 'pop rap', 'rap', 'trap']"
259,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']"
260,Sam Smith,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
261,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
262,Big Gigantic,"['edm', 'electronic trap', 'electropop', 'vapor twitch']"
263,Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
264,Futuristic,"['deep underground hip hop', 'indie pop rap', 'pop rap', 'rap', 'underground hip hop']"
265,Michl,['vapor soul']
266,FLETCHER,"['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']"
267,AJ Mitchell,"['electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']"
268,Hippie Sabotage,"['edm', 'electronic trap']"
269,88rising,"['asian american hip hop', 'pop']"
270,Lil Dicky,"['comedy rap', 'pop rap', 'rap']"
271,Sueco the Child,
272,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
273,Bazzi,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
274,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
275,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']"
276,Travis Scott,['rap']
277,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
278,Desiigner,"['pop rap', 'rap', 'trap', 'viral trap']"
279,Andy Mineo,"['christian hip hop', 'christian trap']"
280,Rob $tone,['san diego rap']
281,Lil Nas X,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']"
282,21 Savage,"['atl hip hop', 'rap', 'trap']"
283,Ty Dolla $ign,"['hip hop', 'pop', 'pop rap', 'r&b', 'trap', 'trap soul']"
284,Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
285,Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap']"
286,Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
287,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
